empresa,subcta,linea_producto,clv_sub,tarifa,portes,agencia_transporte,tipo_iva,tipo_iva_alt,albaran_valorado,albaran_factura,pedido_albaran,intervalo_factura,copias_albaran,copias_factura,descuento_p_pago,descripcion_dto_2,descuento_2,descripcion_dto_3,descuento_3,cl_circ_oferta,cargo_financiero,cargo_fin_dias,descripcion_car_2,cargo_2,irpf,aplic_irpf,vendedor_1,vendedor_2,vendedor_3,facturar_envase,empresa_id,subcta_id,name
1,4000551,1,,,1,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,N,1,1_4000551,1_4000551
1,4301063,1,,,0,,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301063,1_4301063
1,4100994,1,,,,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4100994,1_4100994
1,4000192,1,,,1,98,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000192,1_4000192
1,4101005,1,,1,0,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,,1,1_4101005,1_4101005
1,4300576,1,,13,1,1,1,1,1,0,1,1,3,2,,,,,,,,,,,0.00,1,,,,N,1,1_4300576,1_4300576
19,4301272,1,,,,,1,1,1,0,1,1,3,1,,,,,,,,,,,0.00,1,4100001,,,N,19,19_4301272,19_4301272
19,4302037,1,,,0,27,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,19,19_4302037,19_4302037
1,4301493,1,,,0,99,1,1,0,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301493,1_4301493
19,4301062,1,,1,1,1,1,3,1,0,1,1,3,1,,,,,,,,,,,0.00,1,,,,N,19,19_4301062,19_4301062
19,4301129,1,,,,,1,1,1,0,1,1,3,1,0.00,,,,,,,,,,0.00,1,,,,N,19,19_4301129,19_4301129
1,4301023,1,,,0,,1,1,1,0,1,1,3,4,,,,,,,,,,3.00,0.00,1,,,,N,1,1_4301023,1_4301023
1,4300329,1,,,,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300329,1_4300329
1,4301124,1,,1,0,16,1,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301124,1_4301124
1,4301169,1,,,,,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301169,1_4301169
1,4301687,1,,7,1,70,5,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,,1,1_4301687,1_4301687
1,4300665,1,,4,,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4300665,1_4300665
1,4000038,1,,,1,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000038,1_4000038
1,4300553,1,,,0,22,1,1,1,0,1,1,3,4,3.00,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300553,1_4300553
1,4300392,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300392,1_4300392
19,4301270,1,,,,,1,1,1,0,1,1,3,1,,,,,,,,,,,0.00,1,4100001,,,N,19,19_4301270,19_4301270
1,4300987,1,,,0,37,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300987,1_4300987
1,4000449,1,,,,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000449,1_4000449
1,4301088,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301088,1_4301088
1,4000475,1,,,1,98,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000475,1_4000475
1,4300993,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,3.00,0.00,1,4100001,,,N,1,1_4300993,1_4300993
1,4000022,1,,,1,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000022,1_4000022
1,4301198,1,,,,,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301198,1_4301198
19,4301273,1,,,,,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,19,19_4301273,19_4301273
1,4301411,1,,8,0,98,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301411,1_4301411
1,4300586,1,,,0,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300586,1_4300586
1,4301289,1,,8,0,99,3,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301289,1_4301289
1,4000590,1,,,0,98,1,1,0,0,0,1,1,1,,,,,,,,,,,0.00,1,,,,N,1,1_4000590,1_4000590
19,4301221,1,,,,,1,1,1,0,1,1,3,1,,,,,,,,,,,0.00,1,,,,N,19,19_4301221,19_4301221
1,4301500,1,,7,0,82,1,1,0,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301500,1_4301500
1,4000417,1,,,1,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,N,1,1_4000417,1_4000417
1,4301148,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301148,1_4301148
1,4300203,1,,,,1,1,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4300203,1_4300203
1,4301104,1,,,0,8,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301104,1_4301104
1,4301062,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301062,1_4301062
1,4000237,1,,,1,99,1,3,1,1,1,1,1,1,,,,,,,,,,,0.00,1,,,,N,1,1_4000237,1_4000237
1,4300798,1,,,0,58,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4300798,1_4300798
1,4301486,1,,,0,1,1,1,0,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301486,1_4301486
1,4301391,1,,8,0,98,1,1,0,0,1,4,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301391,1_4301391
1,4000208,1,,,1,98,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000208,1_4000208
1,4300986,1,,,,16,1,3,1,0,1,1,3,4,,,,,,,,,,3.00,0.00,1,4100001,,,N,1,1_4300986,1_4300986
1,4300172,1,,7,,1,1,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300172,1_4300172
1,4300744,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300744,1_4300744
19,4301175,1,,,0,99,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,19,19_4301175,19_4301175
1,4000191,1,,,1,98,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000191,1_4000191
1,4100989,1,,1,0,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,,1,1_4100989,1_4100989
1,4301038,1,,,,,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301038,1_4301038
1,4300115,1,,,0,8,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4300115,1_4300115
1,4000471,1,,,1,16,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000471,1_4000471
1,4000012,1,,,1,98,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000012,1_4000012
1,4000026,1,,,1,98,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000026,1_4000026
1,4000279,1,,,0,99,1,3,1,0,1,4,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000279,1_4000279
1,4100244,1,,,,,1,3,1,0,1,4,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4100244,1_4100244
1,4300084,1,,,,1,1,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4300084,1_4300084
1,4100353,1,,,,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4100353,1_4100353
1,4100412,1,,,,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4100412,1_4100412
1,4301367,1,,,1,98,1,1,1,1,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301367,1_4301367
1,4300047,1,,,,1,1,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4300047,1_4300047
1,4000148,1,,,1,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000148,1_4000148
1,4301720,1,,7,0,79,3,3,1,1,1,1,3,2,,,,,,,,,,,0.00,1,,,,N,1,1_4301720,1_4301720
1,4000437,1,,,1,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000437,1_4000437
