empresa,ejercicio,documento,tipo_doc,almacen,orden,descripcion,clv_man,facturado,empresa_id,almacen_id,documento_id,name
1,2023,23000427,PV,1,2,INCOLOY-825 4000W 400V III 9684H,,0,1,1_1,1_1_PV_23000427,1_1_PV_23000427_2_1
1,2023,23000428,PV,1,2,CON 3 METROS DE CABLE,,0,1,1_1,1_1_PV_23000428,1_1_PV_23000428_2_1
1,2023,23000484,SV,1,2,INCOLOY-825 4000W 400V III 9684H,,1,1,1_1,1_1_SV_23000484,1_1_SV_23000484_2_1
1,2023,23000331,EC,1,1,PILA BOTO 2450 VARTA,,1,1,1_1,1_1_EC_23000331,1_1_EC_23000331_1_1
1,2023,3696,SF,1,3,CALENTAR 150º,,0,1,1_1,1_1_SF_3696,1_1_SF_3696_3_1
1,2023,3696,SF,1,4,30 min CALENTANDO,,0,1,1_1,1_1_SF_3696,1_1_SF_3696_4_1
1,2023,3696,SF,1,5,CALENTAR 150º,,0,1,1_1,1_1_SF_3696,1_1_SF_3696_5_1
1,2023,3696,SF,1,6,DIAMETRO MAXIMO 66mm,,0,1,1_1,1_1_SF_3696,1_1_SF_3696_6_1
1,2023,3696,SF,1,7,GRUESO MAXIMO 3mm POR LADO,,0,1,1_1,1_1_SF_3696,1_1_SF_3696_7_1
1,2023,3696,SF,1,8,COMPROBAR AMB GALGA D-66,,0,1,1_1,1_1_SF_3696,1_1_SF_3696_8_1
1,2023,23000430,PV,1,2,"ACTIVO 500, CBZAL GOMA",,0,1,1_1,1_1_PV_23000430,1_1_PV_23000430_2_1
1,2023,23000430,PV,1,4,CBZAL GOMA,,0,1,1_1,1_1_PV_23000430,1_1_PV_23000430_4_1
1,2023,23000431,PV,1,2,"A700 CBZA.GOMA, 6MT CABLE, SELLADO",,0,1,1_1,1_1_PV_23000431,1_1_PV_23000431_2_1
1,2023,3664,SF,1,10,10/10191 ARANDELA Ti DIN-125 P/M-10,,0,1,1_1,1_1_SF_3664,1_1_SF_3664_10_1
1,2023,23000407,PV,1,8,Condiciones de venta: CONTADO,,0,1,1_1,1_1_PV_23000407,1_1_PV_23000407_8_1
