empresa,ejercicio,almacen,documento,tipo_movimiento,linea_documento,linea_medida,bultos,cantidad,largo,ancho,grueso,procede,empresa_id,almacen_id,documento_id,linea_documento_id,name
1,2023,1,3129,SF,5,1,1.000,0.148,148.000,0.000,0.000,2,1,1_1,1_1_SF_3129,1_1_SF_3129_5,1_1_SF_3129_5
1,2023,1,3129,SF,6,1,1.000,0.008,7.500,0.000,0.000,2,1,1_1,1_1_SF_3129,1_1_SF_3129_6,1_1_SF_3129_6
1,2023,1,3194,SF,9,1,1.000,0.333,333.000,0.000,0.000,2,1,1_1,1_1_SF_3194,1_1_SF_3194_9,1_1_SF_3194_9
1,2023,1,3110,SF,1,1,1.024,0.001,114.000,0.000,0.000,2,1,1_1,1_1_SF_3110,1_1_SF_3110_1,1_1_SF_3110_1
1,2023,1,3051,SF,7,1,1.000,0.109,300.000,0.000,0.000,2,1,1_1,1_1_SF_3051,1_1_SF_3051_7,1_1_SF_3051_7
1,2023,1,3051,SF,8,1,1.000,0.022,30.000,0.000,0.000,2,1,1_1,1_1_SF_3051,1_1_SF_3051_8,1_1_SF_3051_8
1,2023,1,3109,SF,1,1,1.364,0.001,125.000,0.000,0.000,2,1,1_1,1_1_SF_3109,1_1_SF_3109_1,1_1_SF_3109_1
1,2023,1,3042,SF,1,1,1.000,0.003,103.550,10.000,0.000,2,1,1_1,1_1_SF_3042,1_1_SF_3042_1,1_1_SF_3042_1
1,2023,1,3038,SF,1,1,1.042,0.129,795.000,23.000,0.000,2,1,1_1,1_1_SF_3038,1_1_SF_3038_1,1_1_SF_3038_1
1,2023,1,3038,SF,2,1,36.000,0.139,122.000,10.000,0.000,2,1,1_1,1_1_SF_3038,1_1_SF_3038_2,1_1_SF_3038_2
1,2023,1,3039,SF,1,1,1.038,0.123,795.000,22.000,0.000,2,1,1_1,1_1_SF_3039,1_1_SF_3039_1,1_1_SF_3039_1
1,2023,1,3040,SF,1,1,1.063,0.137,795.000,24.000,0.000,2,1,1_1,1_1_SF_3040,1_1_SF_3040_1,1_1_SF_3040_1
1,2023,1,3041,SF,1,1,1.063,0.137,795.000,24.000,0.000,2,1,1_1,1_1_SF_3041,1_1_SF_3041_1,1_1_SF_3041_1
1,2023,1,2941,SF,1,1,1.000,3.600,300.000,1000.000,0.000,2,1,1_1,1_1_SF_2941,1_1_SF_2941_1,1_1_SF_2941_1
1,2023,1,2941,SF,2,1,1.000,1.130,1800.000,0.000,0.000,2,1,1_1,1_1_SF_2941,1_1_SF_2941_2,1_1_SF_2941_2
1,2023,1,3158,SF,1,1,1.000,0.402,300.000,0.000,0.000,2,1,1_1,1_1_SF_3158,1_1_SF_3158_1,1_1_SF_3158_1
1,2023,1,3393,SF,1,1,1.000,0.564,210.000,0.000,0.000,2,1,1_1,1_1_SF_3393,1_1_SF_3393_1,1_1_SF_3393_1
1,2023,1,3135,SF,1,1,2.000,0.271,100.000,100.000,0.000,2,1,1_1,1_1_SF_3135,1_1_SF_3135_1,1_1_SF_3135_1
1,2023,1,3167,SF,2,1,1.000,0.055,152.000,0.000,0.000,2,1,1_1,1_1_SF_3167,1_1_SF_3167_2,1_1_SF_3167_2
1,2023,1,3167,SF,3,1,1.000,0.074,101.000,0.000,0.000,2,1,1_1,1_1_SF_3167,1_1_SF_3167_3,1_1_SF_3167_3
1,2023,1,3122,SF,1,1,1.017,0.176,240.000,0.000,0.000,2,1,1_1,1_1_SF_3122,1_1_SF_3122_1,1_1_SF_3122_1
1,2023,1,3197,SF,1,1,1.000,1.264,500.000,142.000,0.000,2,1,1_1,1_1_SF_3197,1_1_SF_3197_1,1_1_SF_3197_1
1,2023,1,3194,SF,10,1,1.000,1.200,1200.000,0.000,0.000,2,1,1_1,1_1_SF_3194,1_1_SF_3194_10,1_1_SF_3194_10
