moneda_ref,moneda,fecha_inicio,valor_c,valor_v,tipo,moneda_id,name
2,1,1996-12-31,118.000000,120.000000,2,1,2_1_1996-12-31
1,3,1996-12-31,12.000000,13.000000,2,3,1_3_1996-12-31
3,1,1996-12-31,0.120000,0.120000,2,1,3_1_1996-12-31
4,1,1996-12-31,19.000000,20.000000,2,1,4_1_1996-12-31
1,1,1996-12-31,1.000000,1.000000,2,1,1_1_1996-12-31
2,2,1996-12-31,1.000000,2.000000,2,2,2_2_1996-12-31
4,4,1996-12-31,1.000000,1.000000,2,4,4_4_1996-12-31
1,4,1996-02-22,0.050000,0.050000,1,4,1_4_1996-02-22
1,2,1996-02-22,0.008000,0.008000,1,2,1_2_1996-02-22
2,1,1996-02-22,120.000000,120.000000,1,1,2_1_1996-02-22
1,3,1996-02-22,12.000000,12.000000,1,3,1_3_1996-02-22
3,1,1996-02-22,0.120000,0.120000,1,1,3_1_1996-02-22
4,1,1996-02-22,20.000000,20.000000,1,1,4_1_1996-02-22
1,1,1996-02-22,1.000000,1.000000,1,1,1_1_1996-02-22
2,2,1996-02-22,1.000000,1.000000,1,2,2_2_1996-02-22
4,4,1996-02-22,1.000000,1.000000,1,4,4_4_1996-02-22
1,4,1996-05-10,0.200000,0.200000,2,4,1_4_1996-05-10
1,2,1996-05-10,0.009000,0.009000,2,2,1_2_1996-05-10
2,1,1996-05-10,110.000000,110.000000,2,1,2_1_1996-05-10
1,3,1996-05-10,1.200000,1.200000,2,3,1_3_1996-05-10
3,1,1996-05-10,0.012000,0.012000,2,1,3_1_1996-05-10
4,1,1996-05-10,20.000000,20.000000,2,1,4_1_1996-05-10
1,1,1996-05-10,1.000000,1.000000,2,1,1_1_1996-05-10
2,2,1996-05-10,1.000000,1.000000,2,2,2_2_1996-05-10
4,4,1996-05-10,1.000000,1.000000,2,4,4_4_1996-05-10
1,4,1996-02-22,0.200000,0.200000,2,4,1_4_1996-02-22
1,2,1996-02-22,0.008000,0.008000,2,2,1_2_1996-02-22
2,1,1996-02-22,120.000000,120.000000,2,1,2_1_1996-02-22
1,3,1996-02-22,12.000000,12.000000,2,3,1_3_1996-02-22
3,1,1996-02-22,0.120000,0.120000,2,1,3_1_1996-02-22
4,1,1996-02-22,20.000000,20.000000,2,1,4_1_1996-02-22
1,1,1996-02-22,1.000000,1.000000,2,1,1_1_1996-02-22
2,2,1996-02-22,1.000000,1.000000,2,2,2_2_1996-02-22
4,4,1996-02-22,1.000000,1.000000,2,4,4_4_1996-02-22
1,4,1996-05-10,0.050000,0.050000,1,4,1_4_1996-05-10
1,2,1996-05-10,0.009000,0.009000,1,2,1_2_1996-05-10
2,1,1996-05-10,110.000000,110.000000,1,1,2_1_1996-05-10
1,3,1996-05-10,1.200000,1.200000,1,3,1_3_1996-05-10
3,1,1996-05-10,0.012000,0.012000,1,1,3_1_1996-05-10
4,1,1996-05-10,20.000000,20.000000,1,1,4_1_1996-05-10
1,1,1996-05-10,1.000000,1.000000,1,1,1_1_1996-05-10
2,2,1996-05-10,1.000000,1.000000,1,2,2_2_1996-05-10
4,4,1996-05-10,1.000000,1.000000,1,4,4_4_1996-05-10
1,4,1996-05-11,0.050000,0.050000,2,4,1_4_1996-05-11
1,2,1996-05-11,0.009000,0.009000,2,2,1_2_1996-05-11
2,1,1996-05-11,120.000000,120.000000,2,1,2_1_1996-05-11
1,3,1996-05-11,12.000000,12.000000,2,3,1_3_1996-05-11
3,1,1996-05-11,0.120000,0.120000,2,1,3_1_1996-05-11
4,1,1996-05-11,20.000000,20.000000,2,1,4_1_1996-05-11
1,1,1996-05-11,1.000000,1.000000,2,1,1_1_1996-05-11
2,2,1996-05-11,1.000000,1.000000,2,2,2_2_1996-05-11
4,4,1996-05-11,1.000000,1.000000,2,4,4_4_1996-05-11
1,4,1996-05-11,0.050000,0.050000,1,4,1_4_1996-05-11
1,2,1996-05-11,0.009000,0.009000,1,2,1_2_1996-05-11
2,1,1996-05-11,120.000000,120.000000,1,1,2_1_1996-05-11
1,3,1996-05-11,12.000000,12.000000,1,3,1_3_1996-05-11
3,1,1996-05-11,0.120000,0.120000,1,1,3_1_1996-05-11
4,1,1996-05-11,20.000000,20.000000,1,1,4_1_1996-05-11
1,1,1996-05-11,1.000000,1.000000,1,1,1_1_1996-05-11
2,2,1996-05-11,1.000000,1.000000,1,2,2_2_1996-05-11
4,4,1996-05-11,1.000000,1.000000,1,4,4_4_1996-05-11
1,4,1996-05-12,0.050000,0.060000,2,4,1_4_1996-05-12
1,2,1996-05-12,0.009000,0.009000,2,2,1_2_1996-05-12
2,1,1996-05-12,120.000000,120.000000,2,1,2_1_1996-05-12
1,3,1996-05-12,12.000000,12.000000,2,3,1_3_1996-05-12
3,1,1996-05-12,0.120000,0.120000,2,1,3_1_1996-05-12
