empresa,codigo,clv_art,precio_std_1,fecha_std_1,precio_std_2,precio_std_3,precio_std_4,precio_u_entrada,moneda,cambio,cambio_euro,tipo_iva,variante,empresa_id,codigo_id,moneda_id,name
1,PR/INRE/0001-A,,,,,,,,,,,1,STAND,1,1_PR/INRE/0001-A,,1_PR/INRE/0001-A_STAND
1,PR/IHTC/0001,,,,,,,,,,,1,STAND,1,1_PR/IHTC/0001,,1_PR/IHTC/0001_STAND
1,PR/1708/0012,,,,,,,,,,,1,STAND,1,1_PR/1708/0012,,1_PR/1708/0012_STAND
,C0061200B,,,,,,,,,1.000000,,1,STAND,0,0_C0061200B,,0_C0061200B_STAND
,C0063101B,,,,,,,,,1.000000,,1,STAND,0,0_C0063101B,,0_C0063101B_STAND
,C0063201B,,,,,,,,,1.000000,,1,STAND,0,0_C0063201B,,0_C0063201B_STAND
1,PR/1505/0010,,,,,,,,,,,1,STAND,1,1_PR/1505/0010,,1_PR/1505/0010_STAND
1,56/00080B,,7.00000,,,,,6.12500,9,1.000000,,1,STAND,1,1_56/00080B,9,1_56/00080B_STAND
1,01/10123,,,,,,,12.59600,9,1.000000,,1,STAND,1,1_01/10123,9,1_01/10123_STAND
,C0042102B,,,,,,,,,1.000000,,1,STAND,0,0_C0042102B,,0_C0042102B_STAND
1,PR/0617/0200,,,,,,,,,,,1,STAND,1,1_PR/0617/0200,,1_PR/0617/0200_STAND
,C0042202B,,,,,,,,,1.000000,,1,STAND,0,0_C0042202B,,0_C0042202B_STAND
,C0052102B,,,,,,,,,1.000000,,1,STAND,0,0_C0052102B,,0_C0052102B_STAND
,C0052202B,,,,,,,,,1.000000,,1,STAND,0,0_C0052202B,,0_C0052202B_STAND
,C0041102B,,,,,,,,,1.000000,,1,STAND,0,0_C0041102B,,0_C0041102B_STAND
,C0142100B,,,,,,,,,1.000000,,1,STAND,0,0_C0142100B,,0_C0142100B_STAND
,C0123100B,,,,,,,,,1.000000,,1,STAND,0,0_C0123100B,,0_C0123100B_STAND
,C0103100B,,,,,,,,,1.000000,,1,STAND,0,0_C0103100B,,0_C0103100B_STAND
,C0113100B,,,,,,,,,1.000000,,1,STAND,0,0_C0113100B,,0_C0113100B_STAND
,C0132100B,,,,,,,,,1.000000,,1,STAND,0,0_C0132100B,,0_C0132100B_STAND
,C0132200B,,,,,,,,,1.000000,,1,STAND,0,0_C0132200B,,0_C0132200B_STAND
,C0136100B,,,,,,,,,1.000000,,1,STAND,0,0_C0136100B,,0_C0136100B_STAND
