empresa,ejercicio,tipo_movimiento,pedido,linea_pedido,clv_ped,fecha_servicio,articulo,acumula,cantidad,bultos,cantidad_s,bultos_s,precio,precio_iva,tipo_precio,descuento_1,descuento_2,descuento_3,comision_1,comision_2,comision_3,tipo_iva,variante,iva,recargo_e,precio_coste,pts_kl,aplic_pt_kl,total_linea,total_linea_base,total_linea_euro,moneda,cambio,cambio_euro,almacen,subcta,linea_producto,clv_sub,fecha_documento,presupuesto,linea_presupuesto,triangulado,lote_interno,od_linea,codexpe,campo1,campo2,porcentaje,eur_kg,empresa_id,moneda_id,almacen_id,pedido_id,name
1,2023,PC,23000245,5,,2023-08-25,02/0970101,1,3000.000,0.000,3000.000,0.000,0.72000,0.72000,1,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,0.00,0.00,0.72238,0.00000,0,0.00000,0.00000,,9,1.000000,,1,4000728,1,,2023-07-11,,,,,3,,,,,,1,9,1_1,1_1_PC_23000245,1_1_PC_23000245_5
1,2023,PC,23000118,4,,2023-03-24,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000763,1,,2023-03-21,,,,,4,,,,,,1,9,1_1,1_1_PC_23000118,1_1_PC_23000118_4
1,2023,PV,23000398,5,,2023-07-24,02/10384R,1,4.000,0.000,4.000,0.000,0.00000,0.00000,1,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,14.47710,,0,0.00000,0.00000,,9,1.000000,,1,4301557,1,,2023-07-04,,,,,5,,,,,,1,9,1_1,1_1_PV_23000398,1_1_PV_23000398_5
1,2023,PC,23000338,2,,2023-11-06,..01/1011001,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000479,1,,2023-10-27,,,,,2,,,,,,1,9,1_1,1_1_PC_23000338,1_1_PC_23000338_2
1,2023,PV,23000398,4,,2023-07-24,02/10521AR,1,1.000,0.000,1.000,0.000,0.00000,0.00000,1,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,16.28337,,0,0.00000,0.00000,,9,1.000000,,1,4301557,1,,2023-07-04,,,,,4,,,,,,1,9,1_1,1_1_PV_23000398,1_1_PV_23000398_4
1,2023,PV,23000334,2,,2023-06-09,10/10083,1,100.000,0.000,100.000,0.000,1.26000,1.26000,0,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,0.37226,,0,0.00000,0.00000,,9,1.000000,,1,4300788,1,,2023-06-02,,,,,2,,,,,,1,9,1_1,1_1_PV_23000334,1_1_PV_23000334_2
1,2023,PV,23000690,1,,2024-01-10,12/50136,1,-4.000,0.000,-4.000,0.000,0.00000,0.00000,1,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,37.15000,,0,0.00000,0.00000,,9,1.000000,,1,4301529,1,,2023-12-19,,,,,1,,,,,,1,9,1_1,1_1_PV_23000690,1_1_PV_23000690_1
1,2023,PC,23000322,2,,2023-10-30,AV021,1,1.000,0.000,1.000,0.000,10.90000,10.90000,1,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,60.70688,0.00000,0,0.00000,0.00000,,9,1.000000,,1,4000163,1,,2023-10-16,,,,,2,,,,,,1,9,1_1,1_1_PC_23000322,1_1_PC_23000322_2
1,2023,PV,23000398,7,,2023-07-24,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4301557,1,,2023-07-04,,,,,7,,,,,,1,9,1_1,1_1_PV_23000398,1_1_PV_23000398_7
1,2023,PV,23000149,2,,2023-03-14,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4300012,1,,2023-03-09,,,,,2,,,,,,1,9,1_1,1_1_PV_23000149,1_1_PV_23000149_2
