empresa,ejercicio,almacen,documento,tipo_doc,subcta,fecha,importe,moneda,cambio,cambio_euro,asiento,orden,tipo,tpv,clave,empresa_id,ejercicio_id,almacen_id,subcta_id,moneda_id,tpv_id,name
1,2016,1,16000361,SV,4301007,2016-04-27,515.46000,9,1.000000,,,,1,1,1604270733341007,1,1_2016,1_1,1_4301007,9,1_1,1_1
1,2016,1,16000379,SV,4300267,2016-05-02,11132.13000,9,1.000000,,,,1,1,1605031430510267,1,1_2016,1_1,1_4300267,9,1_1,1_1
1,2016,1,16000330,SV,4300871,2016-04-19,617.10000,9,1.000000,,,,1,1,1604250835250871,1,1_2016,1_1,1_4300871,9,1_1,1_1
1,2016,1,16000342,SV,4301007,2016-04-21,1609.91000,9,1.000000,,,,1,1,1604250836351007,1,1_2016,1_1,1_4301007,9,1_1,1_1
1,2016,1,16000317,SV,4301439,2016-04-14,2032.80000,9,1.000000,,,,1,1,1604250837561439,1,1_2016,1_1,1_4301439,9,1_1,1_1
1,2016,1,16000344,SV,4300267,2016-04-21,99.34000,9,1.000000,,,,1,1,1604251656250267,1,1_2016,1_1,1_4300267,9,1_1,1_1
1,2016,1,16000365,SV,4301439,2016-04-28,266.20000,9,1.000000,,,,1,1,1604281118381439,1,1_2016,1_1,1_4301439,9,1_1,1_1
1,2016,1,16000362,SV,4301708,2016-04-27,0.00000,9,1.000000,,,,1,1,1604270736541708,1,1_2016,1_1,1_4301708,9,1_1,1_1
1,2016,1,16000363,SV,4300254,2016-04-27,237.77000,9,1.000000,,,,1,1,1604270737350254,1,1_2016,1_1,1_4300254,9,1_1,1_1
1,2016,1,16000352,SV,4300847,2016-04-25,4276.50000,9,1.000000,,,,1,1,1604270815010847,1,1_2016,1_1,1_4300847,9,1_1,1_1
1,2016,1,16000350,SV,4300617,2016-04-22,724.69000,9,1.000000,,,,1,1,1604270821490617,1,1_2016,1_1,1_4300617,9,1_1,1_1
1,2016,1,16000371,SV,4300085,2016-04-29,261.97000,9,1.000000,,,,1,1,1604290813370085,1,1_2016,1_1,1_4300085,9,1_1,1_1
1,2016,1,16000358,SV,4301771,2016-04-26,145.20000,9,1.000000,,,,1,1,1604281240541771,1,1_2016,1_1,1_4301771,9,1_1,1_1
1,2016,1,16000335,SV,4301771,2016-04-19,333.96000,9,1.000000,,,,1,1,1604281241511771,1,1_2016,1_1,1_4301771,9,1_1,1_1
1,2016,1,16000366,SV,4300690,2016-04-28,183.92000,9,1.000000,,,,1,1,1604281657150690,1,1_2016,1_1,1_4300690,9,1_1,1_1
1,2016,1,16000367,SV,4301438,2016-04-28,242.73000,9,1.000000,,,,1,1,1604281728231438,1,1_2016,1_1,1_4301438,9,1_1,1_1
1,2016,1,16000368,SV,4301438,2016-04-28,186.34000,9,1.000000,,,,1,1,1604281729321438,1,1_2016,1_1,1_4301438,9,1_1,1_1
1,2016,1,16000372,SV,4301489,2016-04-29,290.40000,9,1.000000,,,,1,1,1604291601521489,1,1_2016,1_1,1_4301489,9,1_1,1_1
1,2016,1,16000558,SV,4300301,2016-06-27,7139.00000,9,1.000000,,,,1,1,1606301057100301,1,1_2016,1_1,1_4300301,9,1_1,1_1
1,2016,1,16000374,SV,4300271,2016-05-02,416.37000,9,1.000000,,,,1,1,1605020734400271,1,1_2016,1_1,1_4300271,9,1_1,1_1
1,2016,1,16000375,SV,4301047,2016-05-02,288.59000,9,1.000000,,,,1,1,1605020736251047,1,1_2016,1_1,1_4301047,9,1_1,1_1
1,2016,1,16000376,SV,4300240,2016-05-02,223.85000,9,1.000000,,,,1,1,1605020737530240,1,1_2016,1_1,1_4300240,9,1_1,1_1
1,2016,1,16000377,SV,4301024,2016-05-02,363.00000,9,1.000000,,,,1,1,1605020739091024,1,1_2016,1_1,1_4301024,9,1_1,1_1
1,2016,1,16000378,SV,4300254,2016-05-02,82.28000,9,1.000000,,,,1,1,1605020915530254,1,1_2016,1_1,1_4300254,9,1_1,1_1
1,2016,1,16000345,SV,4301723,2016-04-21,237.28000,9,1.000000,,,,1,1,1605020933291723,1,1_2016,1_1,1_4301723,9,1_1,1_1
1,2016,1,16000354,SV,4300301,2016-04-25,438.50000,9,1.000000,,,,1,1,1605020934120301,1,1_2016,1_1,1_4300301,9,1_1,1_1
1,2016,1,16000327,SV,4300301,2016-04-15,145.20000,9,1.000000,,,,1,1,1605020934470301,1,1_2016,1_1,1_4300301,9,1_1,1_1
1,2016,1,16000388,SV,4300978,2016-05-04,4629.46000,9,1.000000,,,,1,1,1605041721420978,1,1_2016,1_1,1_4300978,9,1_1,1_1
1,2016,1,16000389,SV,4300690,2016-05-04,738.10000,9,1.000000,,,,1,1,1605041750300690,1,1_2016,1_1,1_4300690,9,1_1,1_1
1,2016,1,16000430,SV,4300847,2016-05-13,1968.97000,9,1.000000,,,,1,1,1605171051550847,1,1_2016,1_1,1_4300847,9,1_1,1_1
1,2016,1,16000382,SV,4301017,2016-05-03,150.08000,9,1.000000,,,,1,1,1605030943121017,1,1_2016,1_1,1_4301017,9,1_1,1_1
1,2016,1,16000383,SV,4300254,2016-05-03,163.47000,9,1.000000,,,,1,1,1605031517170254,1,1_2016,1_1,1_4300254,9,1_1,1_1
1,2016,1,16000384,SV,4300254,2016-05-03,1476.20000,9,1.000000,,,,1,1,1605031554540254,1,1_2016,1_1,1_4300254,9,1_1,1_1
1,2016,1,16000385,SV,4300753,2016-05-03,401.08000,9,1.000000,,,,1,1,1605031654170753,1,1_2016,1_1,1_4300753,9,1_1,1_1
1,2016,1,16000386,SV,4300357,2016-05-03,63.53000,9,1.000000,,,,1,1,1605031656200357,1,1_2016,1_1,1_4300357,9,1_1,1_1
1,2016,1,16000392,SV,4301474,2016-05-06,497.31000,9,1.000000,,,,1,1,1605060802591474,1,1_2016,1_1,1_4301474,9,1_1,1_1
1,2016,1,16000380,SV,4300145,2016-05-03,287.25000,9,1.000000,,,,1,1,1605050757520145,1,1_2016,1_1,1_4300145,9,1_1,1_1
1,2016,1,16000390,SV,4301756,2016-05-05,949.85000,9,1.000000,,,,1,1,1605051149131756,1,1_2016,1_1,1_4301756,9,1_1,1_1
1,2016,1,16000391,SV,4301557,2016-05-05,885.95000,9,1.000000,,,,1,1,1605051552371557,1,1_2016,1_1,1_4301557,9,1_1,1_1
1,2016,1,16000431,SV,4300847,2016-05-13,1455.33000,9,1.000000,,,,1,1,1605171053420847,1,1_2016,1_1,1_4300847,9,1_1,1_1
1,2016,1,16000403,SV,4300228,2016-05-10,734.71000,9,1.000000,,,,1,1,1605101052210228,1,1_2016,1_1,1_4300228,9,1_1,1_1
1,2016,1,16000404,SV,4300754,2016-05-10,241.81000,9,1.000000,,,,1,1,1605101206220754,1,1_2016,1_1,1_4300754,9,1_1,1_1
1,2016,1,16000397,SV,4300617,2016-05-06,105.39000,9,1.000000,,,,1,1,1605061401440617,1,1_2016,1_1,1_4300617,9,1_1,1_1
1,2016,1,16000396,SV,4301723,2016-05-06,363.85000,9,1.000000,,,,1,1,1605090927261723,1,1_2016,1_1,1_4301723,9,1_1,1_1
