empresa,ejercicio,documento,tipo_doc,almacen,orden,c1,c2,c3,facturado,empresa_id,almacen_id,documento_id,name
1,2023,23000025,PC,1,1,,,,0,1,1_1,1_1_PC_23000025_1,1_1_PC_23000025_1
1,2023,23000013,PC,1,1,,,,0,1,1_1,1_1_PC_23000013_1,1_1_PC_23000013_1
1,2023,23000013,PC,1,2,,,,0,1,1_1,1_1_PC_23000013_2,1_1_PC_23000013_2
1,2023,23000013,PC,1,3,,,,0,1,1_1,1_1_PC_23000013_3,1_1_PC_23000013_3
1,2023,23000013,PC,1,4,,,,0,1,1_1,1_1_PC_23000013_4,1_1_PC_23000013_4
1,2023,23000013,PC,1,5,,,,0,1,1_1,1_1_PC_23000013_5,1_1_PC_23000013_5
1,2023,23000023,PC,1,1,,,,0,1,1_1,1_1_PC_23000023_1,1_1_PC_23000023_1
1,2023,23000026,PC,1,1,,,,0,1,1_1,1_1_PC_23000026_1,1_1_PC_23000026_1
1,2023,23000026,PC,1,2,,,,0,1,1_1,1_1_PC_23000026_2,1_1_PC_23000026_2
1,2023,23000023,PC,1,2,,,,0,1,1_1,1_1_PC_23000023_2,1_1_PC_23000023_2
1,2023,23000024,PC,1,1,,,,0,1,1_1,1_1_PC_23000024_1,1_1_PC_23000024_1
1,2023,23000024,PC,1,2,,,,0,1,1_1,1_1_PC_23000024_2,1_1_PC_23000024_2
1,2023,23000024,PC,1,3,,,,0,1,1_1,1_1_PC_23000024_3,1_1_PC_23000024_3
1,2023,23000018,PC,1,3,,,,0,1,1_1,1_1_PC_23000018_3,1_1_PC_23000018_3
1,2023,23000018,PC,1,4,,,,0,1,1_1,1_1_PC_23000018_4,1_1_PC_23000018_4
1,2023,23000018,PC,1,5,,,,0,1,1_1,1_1_PC_23000018_5,1_1_PC_23000018_5
1,2023,23000028,PC,1,1,,,,0,1,1_1,1_1_PC_23000028_1,1_1_PC_23000028_1
1,2023,23000028,PC,1,2,,,,0,1,1_1,1_1_PC_23000028_2,1_1_PC_23000028_2
1,2023,23000028,PC,1,3,,,,0,1,1_1,1_1_PC_23000028_3,1_1_PC_23000028_3
1,2023,23000003,PC,1,1,,,,0,1,1_1,1_1_PC_23000003_1,1_1_PC_23000003_1
1,2023,23000071,PC,1,1,,,,0,1,1_1,1_1_PC_23000071_1,1_1_PC_23000071_1
1,2023,23000031,PC,1,1,,,,0,1,1_1,1_1_PC_23000031_1,1_1_PC_23000031_1
1,2023,23000031,PC,1,2,,,,0,1,1_1,1_1_PC_23000031_2,1_1_PC_23000031_2
1,2023,23000021,PC,1,3,,,,0,1,1_1,1_1_PC_23000021_3,1_1_PC_23000021_3
1,2023,23000021,PC,1,4,,,,0,1,1_1,1_1_PC_23000021_4,1_1_PC_23000021_4
1,2023,23000032,PC,1,1,,,,0,1,1_1,1_1_PC_23000032_1,1_1_PC_23000032_1
