empresa,ejercicio,almacen,fecha_sf,fecha_ef,documento_sf,documento_ef,lote,subcta_c,subcta_s,pedido,linea_pedido,articulo,cantidad_sf,cantidad_ef,observaciones,n_traspaso,estado,of_original,empresa_id,almacen_id,ejercicio_id,name
1,2023,1,2023-01-30,2023-02-20,3218,3218,,4300617,,23000065,,02/10627,10.000,10.000,,,1,,1,1_1,1_2023,1_2023_1_3218
1,2023,1,2023-01-31,2023-02-13,3231,3231,,4300267,,23000073,,02/0880501,19.000,19.000,,,1,,1,1_1,1_2023,1_2023_1_3231
1,2023,1,2023-05-23,2023-05-24,3536,3536,,4301167,,23000312,,02/10869,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3536
1,2023,1,2023-04-11,2023-05-09,3420,3420,,4300267,,23000219,,02/08097,288.000,288.000,,,1,,1,1_1,1_2023,1_2023_1_3420
1,2023,1,2023-01-30,2023-02-15,3221,3221,,4300617,,23000065,,02/1062702,60.000,60.000,,,1,,1,1_1,1_2023,1_2023_1_3221
1,2023,1,2023-02-16,2023-02-21,3281,3281,,4300617,,23000109,,02/09700A01,262.000,262.000,,,1,,1,1_1,1_2023,1_2023_1_3281
1,2023,1,2023-02-27,2023-03-01,3306,3306,,4300617,,23000109,,02/09602,108.000,108.000,,,1,,1,1_1,1_2023,1_2023_1_3306
1,2023,1,2023-02-03,2023-02-21,3242,3242,,4300267,,0,,02/07878,144.000,144.000,,,1,,1,1_1,1_2023,1_2023_1_3242
1,2023,1,2023-03-09,2023-04-04,3343,3343,,4301680,,23000155,,02/09825,39.000,39.000,,,1,,1,1_1,1_2023,1_2023_1_3343
1,2023,1,2023-01-31,2023-02-06,3229,3229,,4301439,,23000069,,03/1631185,2.000,2.000,,,1,,1,1_1,1_2023,1_2023_1_3229
1,2023,1,2023-01-31,2023-02-07,3232,3232,,4300267,,23000073,,10/90005,16.000,16.000,,,1,,1,1_1,1_2023,1_2023_1_3232
1,2023,1,2023-02-01,2023-03-16,3236,3236,,4300617,,23000077,,02/10021,10.000,10.000,,,1,,1,1_1,1_2023,1_2023_1_3236
1,2023,1,2023-02-22,2023-03-16,3297,3297,,4301708,,23000121,,03/00439,2.000,2.000,,,1,,1,1_1,1_2023,1_2023_1_3297
1,2023,1,2023-06-07,2023-06-12,3570,3570,,4301474,,23000344,,10/09510,100.000,100.000,,,1,,1,1_1,1_2023,1_2023_1_3570
1,2023,1,2023-01-31,2023-01-31,3235,3235,,4309999,,0,,04/99999,5.940,5.940,,,1,,1,1_1,1_2023,1_2023_1_3235
1,2023,1,2023-03-13,2023-03-24,3350,3350,,4301682,,23000162,,02/10851,5.000,5.000,,,1,,1,1_1,1_2023,1_2023_1_3350
1,2023,1,2023-03-22,2023-03-24,3380,3380,,4301784,,23000183,,03/2531085,4.000,4.000,,,1,,1,1_1,1_2023,1_2023_1_3380
1,2023,1,2023-01-02,2023-01-31,3113,3113,,4301557,,22000626,,02/10841,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3113
1,2023,1,2023-01-02,2023-01-31,3116,3116,,4301557,,22000626,,02/10843,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3116
1,2023,1,2023-01-24,2023-02-06,3192,3192,,4300617,,23000054,,02/10817A,2.000,2.000,,,1,,1,1_1,1_2023,1_2023_1_3192
1,2023,1,2023-01-30,2023-01-31,3228,3228,,4300012,,23000066,,03/10000,2.000,2.000,,,1,,1,1_1,1_2023,1_2023_1_3228
1,2023,1,2023-03-22,2023-03-24,3381,3381,,4300012,,23000190,,03/10004,2.000,2.000,,,1,,1,1_1,1_2023,1_2023_1_3381
1,2023,1,2023-01-26,2023-01-31,3203,3203,,4300739,,23000059,,03/2321065,6.000,6.000,,,1,,1,1_1,1_2023,1_2023_1_3203
1,2023,1,2023-01-30,2023-02-08,3214,3214,,4300617,,23000065,,02/10018B01,1576.000,1576.000,,,1,,1,1_1,1_2023,1_2023_1_3214
1,2023,1,2023-01-19,2023-01-31,3182,3182,,4300267,,0,,02/08686,16222.000,16222.000,,,1,,1,1_1,1_2023,1_2023_1_3182
