empresa,codigo,descripcion_1,descripcion_2,v_int,v_dec1,v_dec2,v_char,parametro,empresa_id,name
19,11086,*** NO SE USA ***, ,,,,,0,19,19_11086
999,11086,*** NO SE USA ***, ,,,,,0,999,999_11086
1,11087,*** NO SE USA ***, ,,,,,0,1,1_11087
19,11087,*** NO SE USA ***, ,,,,,0,19,19_11087
999,11087,*** NO SE USA ***, ,,,,,0,999,999_11087
1,11088,*** SE UTILIZA EL PARAMETRO NUMERO 88 ***, ,,,,,0,1,1_11088
19,11088,*** SE UTILIZA EL PARAMETRO NUMERO 88 ***, ,,,,,0,19,19_11088
999,11088,*** SE UTILIZA EL PARAMETRO NUMERO 88 ***, ,,,,,0,999,999_11088
1,11089,*** SE UTILIZA EL PARAMETRO NUMERO 89 ***, ,,,,,0,1,1_11089
19,11089,*** SE UTILIZA EL PARAMETRO NUMERO 89 ***, ,,,,,0,19,19_11089
999,11089,*** SE UTILIZA EL PARAMETRO NUMERO 89 ***, ,,,,,0,999,999_11089
1,11090,*** SE UTILIZA EL PARAMETRO NUMERO 90 ***, ,,,,,0,1,1_11090
19,11090,*** SE UTILIZA EL PARAMETRO NUMERO 90 ***, ,,,,,0,19,19_11090
999,11090,*** SE UTILIZA EL PARAMETRO NUMERO 90 ***, ,,,,,0,999,999_11090
1,11091,*** SE UTILIZA EL PARAMETRO NUMERO 91 ***, ,,,,,0,1,1_11091
19,11091,*** SE UTILIZA EL PARAMETRO NUMERO 91 ***, ,,,,,0,19,19_11091
999,11091,*** SE UTILIZA EL PARAMETRO NUMERO 91 ***, ,,,,,0,999,999_11091
1,11092,*** NO SE USA ***, ,,,,,0,1,1_11092
19,11092,*** NO SE USA ***, ,,,,,0,19,19_11092
999,11092,*** NO SE USA ***, ,,,,,0,999,999_11092
1,11093,*** SE UTILIZA EL PARAMETRO NUMERO 93 ***, ,,,,,0,1,1_11093
19,11093,*** SE UTILIZA EL PARAMETRO NUMERO 93 ***, ,,,,,0,19,19_11093
999,11093,*** SE UTILIZA EL PARAMETRO NUMERO 93 ***, ,,,,,0,999,999_11093
1,11094,*** NO SE USA ***, ,,,,,0,1,1_11094
19,11094,*** NO SE USA ***, ,,,,,0,19,19_11094
999,11094,*** NO SE USA ***, ,,,,,0,999,999_11094
1,11095,*** NO SE USA ***, ,,,,,0,1,1_11095
19,11095,*** NO SE USA ***, ,,,,,0,19,19_11095
999,11095,*** NO SE USA ***, ,,,,,0,999,999_11095
1,11096,*** NO SE USA ***, ,,,,,0,1,1_11096
19,11096,*** NO SE USA ***, ,,,,,0,19,19_11096
999,11096,*** NO SE USA ***, ,,,,,0,999,999_11096
1,11097,*** NO SE USA ***, ,,,,,0,1,1_11097
19,11097,*** NO SE USA ***, ,,,,,0,19,19_11097
999,11097,*** NO SE USA ***, ,,,,,0,999,999_11097
