empresa,ejercicio,asiento,orden,fecha_entrada,fecha_contable,usuario,subcta,importe_debe,debe_base,debe_euro,importe_haber,haber_base,haber_euro,tipo,moneda,cambio,cambio_euro,fecha_valor,concepto,descripcion_1,descripcion_2,documento,subcta_contrap,impreso,fecha_impreso,asiento_definitivo,orden_definitivo,diario,procedencia,estado,centro,p_s,p_sd,triangulado,iden,empresa_id,ejercicio_id,subcta_id,moneda_id,subcta_contrap_id,name
1,2023,23000001,14,2023-03-16,2023-01-01,inagasa1,2600000,2404.00000,2404.00000,,0.00000,0.00000,,D,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,14,0,610,,,,,,,1,1_2023,1_2600000,9,1_2600000,1_23000001_14
1,2023,23000001,15,2023-03-16,2023-01-01,inagasa1,4400004,104618.43000,104618.43000,,0.00000,0.00000,,D,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,15,0,610,,,,,,,1,1_2023,1_4400004,9,1_4400004,1_23000001_15
1,2023,23000001,16,2023-03-16,2023-01-01,inagasa1,2500002,117000.00000,117000.00000,,0.00000,0.00000,,D,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,16,0,610,,,,,,,1,1_2023,1_2500002,9,1_2500002,1_23000001_16
1,2023,23000001,17,2023-03-16,2023-01-01,inagasa1,2130000,287153.24000,287153.24000,,0.00000,0.00000,,D,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,17,0,610,,,,,,,1,1_2023,1_2130000,9,1_2130000,1_23000001_17
1,2023,23000001,18,2023-03-16,2023-01-01,inagasa1,2500007,50000.00000,50000.00000,,0.00000,0.00000,,D,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,18,0,610,,,,,,,1,1_2023,1_2500007,9,1_2500007,1_23000001_18
1,2023,23000001,19,2023-03-16,2023-01-01,inagasa1,4301863,3622.01000,3622.01000,,0.00000,0.00000,,D,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,19,0,610,,,,,,,1,1_2023,1_4301863,9,1_4301863,1_23000001_19
1,2023,23000001,20,2023-03-16,2023-01-01,inagasa1,4301862,726.00000,726.00000,,0.00000,0.00000,,D,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,20,0,610,,,,,,,1,1_2023,1_4301862,9,1_4301862,1_23000001_20
1,2023,23000001,21,2023-03-16,2023-01-01,inagasa1,4000775,0.00000,0.00000,,120.72000,120.72000,,H,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,21,0,610,,,,,,,1,1_2023,1_4000775,9,1_4000775,1_23000001_21
1,2023,23000001,22,2023-03-16,2023-01-01,inagasa1,4360000,9820.82000,9820.82000,,0.00000,0.00000,,D,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,22,0,610,,,,,,,1,1_2023,1_4360000,9,1_4360000,1_23000001_22
1,2023,23000001,23,2023-03-16,2023-01-01,inagasa1,4000715,0.00000,0.00000,,900.00000,900.00000,,H,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,23,0,610,,,,,,,1,1_2023,1_4000715,9,1_4000715,1_23000001_23
1,2023,23000001,24,2023-03-16,2023-01-01,inagasa1,4301641,423.14000,423.14000,,0.00000,0.00000,,D,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,24,0,610,,,,,,,1,1_2023,1_4301641,9,1_4301641,1_23000001_24
1,2023,23000001,25,2023-03-16,2023-01-01,inagasa1,4000664,0.00000,0.00000,,5217.44000,5217.44000,,H,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,25,0,610,,,,,,,1,1_2023,1_4000664,9,1_4000664,1_23000001_25
1,2023,23000001,26,2023-03-16,2023-01-01,inagasa1,4301473,155.97000,155.97000,,0.00000,0.00000,,D,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,26,0,610,,,,,,,1,1_2023,1_4301473,9,1_4301473,1_23000001_26
19,2023,23000109,1,2024-02-16,2023-12-31,inagasa1,6010011,30.65000,30.65000,,0.00000,0.00000,,D,9,1.000000,,2023-12-31,60,Regul. grupo 6 y 7,,,,,,0,0,0,611,,,,,,,19,19_2023,19_6010011,9,19_6010011,19_23000109_1
19,2023,23000109,2,2024-02-16,2023-12-31,inagasa1,6020011,1258.23000,1258.23000,,0.00000,0.00000,,D,9,1.000000,,2023-12-31,60,Regul. grupo 6 y 7,,,,,,0,0,0,611,,,,,,,19,19_2023,19_6020011,9,19_6020011,19_23000109_2
19,2023,23000109,3,2024-02-16,2023-12-31,inagasa1,6040011,883.84000,883.84000,,0.00000,0.00000,,D,9,1.000000,,2023-12-31,60,Regul. grupo 6 y 7,,,,,,0,0,0,611,,,,,,,19,19_2023,19_6040011,9,19_6040011,19_23000109_3
19,2023,23000109,4,2024-02-16,2023-12-31,inagasa1,6101011,0.00000,0.00000,,52470.82000,52470.82000,,H,9,1.000000,,2023-12-31,60,Regul. grupo 6 y 7,,,,,,0,0,0,611,,,,,,,19,19_2023,19_6101011,9,19_6101011,19_23000109_4
19,2023,23000109,5,2024-02-16,2023-12-31,inagasa1,6212000,1289.61000,1289.61000,,0.00000,0.00000,,D,9,1.000000,,2023-12-31,60,Regul. grupo 6 y 7,,,,,,0,0,0,611,,,,,,,19,19_2023,19_6212000,9,19_6212000,19_23000109_5
19,2023,23000109,6,2024-02-16,2023-12-31,inagasa1,6222511,2517.06000,2517.06000,,0.00000,0.00000,,D,9,1.000000,,2023-12-31,60,Regul. grupo 6 y 7,,,,,,0,0,0,611,,,,,,,19,19_2023,19_6222511,9,19_6222511,19_23000109_6
19,2023,23000109,7,2024-02-16,2023-12-31,inagasa1,6231011,385.00000,385.00000,,0.00000,0.00000,,D,9,1.000000,,2023-12-31,60,Regul. grupo 6 y 7,,,,,,0,0,0,611,,,,,,,19,19_2023,19_6231011,9,19_6231011,19_23000109_7
19,2023,23000109,8,2024-02-16,2023-12-31,inagasa1,6250011,386.48000,386.48000,,0.00000,0.00000,,D,9,1.000000,,2023-12-31,60,Regul. grupo 6 y 7,,,,,,0,0,0,611,,,,,,,19,19_2023,19_6250011,9,19_6250011,19_23000109_8
19,2023,23000109,9,2024-02-16,2023-12-31,inagasa1,6281022,51.80000,51.80000,,0.00000,0.00000,,D,9,1.000000,,2023-12-31,60,Regul. grupo 6 y 7,,,,,,0,0,0,611,,,,,,,19,19_2023,19_6281022,9,19_6281022,19_23000109_9
19,2023,23000109,10,2024-02-16,2023-12-31,inagasa1,6290011,11601.60000,11601.60000,,0.00000,0.00000,,D,9,1.000000,,2023-12-31,60,Regul. grupo 6 y 7,,,,,,0,0,0,611,,,,,,,19,19_2023,19_6290011,9,19_6290011,19_23000109_10
19,2023,23000109,11,2024-02-16,2023-12-31,inagasa1,6310011,68.16000,68.16000,,0.00000,0.00000,,D,9,1.000000,,2023-12-31,60,Regul. grupo 6 y 7,,,,,,0,0,0,611,,,,,,,19,19_2023,19_6310011,9,19_6310011,19_23000109_11
19,2023,23000109,12,2024-02-16,2023-12-31,inagasa1,6490011,861.30000,861.30000,,0.00000,0.00000,,D,9,1.000000,,2023-12-31,60,Regul. grupo 6 y 7,,,,,,0,0,0,611,,,,,,,19,19_2023,19_6490011,9,19_6490011,19_23000109_12
19,2023,23000109,13,2024-02-16,2023-12-31,inagasa1,7000011,22995.91000,22995.91000,,0.00000,0.00000,,D,9,1.000000,,2023-12-31,60,Regul. grupo 6 y 7,,,,,,0,0,0,611,,,,,,,19,19_2023,19_7000011,9,19_7000011,19_23000109_13
19,2023,23000109,14,2024-02-16,2023-12-31,inagasa1,1290000,0.00000,0.00000,,30.65000,30.65000,,H,9,1.000000,,2023-12-31,60,Regul. grupo 6 y 7,,,6010011,,,0,0,0,611,,,,,,,19,19_2023,19_1290000,9,19_1290000,19_23000109_14
19,2023,23000109,15,2024-02-16,2023-12-31,inagasa1,1290000,0.00000,0.00000,,1258.23000,1258.23000,,H,9,1.000000,,2023-12-31,60,Regul. grupo 6 y 7,,,6020011,,,0,0,0,611,,,,,,,19,19_2023,19_1290000,9,19_1290000,19_23000109_15
19,2023,23000109,16,2024-02-16,2023-12-31,inagasa1,1290000,0.00000,0.00000,,883.84000,883.84000,,H,9,1.000000,,2023-12-31,60,Regul. grupo 6 y 7,,,6040011,,,0,0,0,611,,,,,,,19,19_2023,19_1290000,9,19_1290000,19_23000109_16
19,2023,23000109,17,2024-02-16,2023-12-31,inagasa1,1290000,52470.82000,52470.82000,,0.00000,0.00000,,D,9,1.000000,,2023-12-31,60,Regul. grupo 6 y 7,,,6101011,,,0,0,0,611,,,,,,,19,19_2023,19_1290000,9,19_1290000,19_23000109_17
19,2023,23000109,18,2024-02-16,2023-12-31,inagasa1,1290000,0.00000,0.00000,,1289.61000,1289.61000,,H,9,1.000000,,2023-12-31,60,Regul. grupo 6 y 7,,,6212000,,,0,0,0,611,,,,,,,19,19_2023,19_1290000,9,19_1290000,19_23000109_18
