empresa,codigo,clv_art,tipo,subcta,idioma,descripcion,empresa_id,codigo_id,name
1,12/80976,,0,,,BOLSA TELA PE 100MICRAS D180x400 ARO INOX,1,1_12/80976,1_12/80976_BOLSA TELA PE 100MICRAS D180x400 ARO INOX
1,PR/0617/0265,,0,,,BAST-XXX-Ti  1100x325 19BESx18POSx2 -0204864DP0-,1,1_PR/0617/0265,1_PR/0617/0265_BAST-XXX-Ti  1100x325 19BESx18POSx2 -0204864DP0-
1,02/10761,,0,,,MARCO BAST-152 Ti 1245x384,1,1_02/10761,1_02/10761_MARCO BAST-152 Ti 1245x384
1,PR/0617/0265-A,,0,,,BAST-XXX-Ti  1100x325 15BESx15POSx2 -0204864DP0-,1,1_PR/0617/0265-A,1_PR/0617/0265-A_BAST-XXX-Ti  1100x325 15BESx15POSx2 -0204864DP0-
1,55/00602,,0,,,"TITANIO GR2 ASTM B348 VARILLA 6,00",1,1_55/00602,"1_55/00602_TITANIO GR2 ASTM B348 VARILLA 6,00"
1,55/00201,,0,,,"Ti ERTI1 AWS A5.16.90 VARILLA 2,00",1,1_55/00201,"1_55/00201_Ti ERTI1 AWS A5.16.90 VARILLA 2,00"
1,55/00161,,0,,,"Ti ERTI1 AWS A5.16.90 VARILLA 1,60",1,1_55/00161,"1_55/00161_Ti ERTI1 AWS A5.16.90 VARILLA 1,60"
1,55/00101,,0,,,"Ti ERTI1 AWS A5.16.90 VARILLA 1,00",1,1_55/00101,"1_55/00101_Ti ERTI1 AWS A5.16.90 VARILLA 1,00"
1,12/561005,,0,,,CALENT.PLOMO D56 1000W 230V  500,1,1_12/561005,1_12/561005_CALENT.PLOMO D56 1000W 230V  500
1,PR/1047/0034,,0,,,BAST.Fe L1200 10POS.INT.EN 2CARES (C360094A),1,1_PR/1047/0034,1_PR/1047/0034_BAST.Fe L1200 10POS.INT.EN 2CARES (C360094A)
1,PR/1047/0035,,0,,,BAST.Fe L1520 32POS.INT.EN 2 CARES (C34365A),1,1_PR/1047/0035,1_PR/1047/0035_BAST.Fe L1520 32POS.INT.EN 2 CARES (C34365A)
1,04/024000023,,0,,,PLAST.VERDE LINGOTE NAUTICO Pb 15KG TRIANGULAR,1,1_04/024000023,1_04/024000023_PLAST.VERDE LINGOTE NAUTICO Pb 15KG TRIANGULAR
1,02/10768,,0,,,CESTA Ti-P-10x5 500x150x40,1,1_02/10768,1_02/10768_CESTA Ti-P-10x5 500x150x40
1,02/10770,,0,,,CESTA Ti D60x520 2SOPORTES L675 A580,1,1_02/10770,1_02/10770_CESTA Ti D60x520 2SOPORTES L675 A580
1,PR/1047/0033,,0,,,BAST.Fe L1200 10POS.INT.EN 2CARES (C36100A) PELADO,1,1_PR/1047/0033,1_PR/1047/0033_BAST.Fe L1200 10POS.INT.EN 2CARES (C36100A) PELADO
1,PR/1047/0033-A,,0,,,BAST.Fe L1200 10POS.INT.EN 2 CARES (C63100) PELADO,1,1_PR/1047/0033-A,1_PR/1047/0033-A_BAST.Fe L1200 10POS.INT.EN 2 CARES (C63100) PELADO
1,10/90009M,,0,,,MZ TC Ti C/19x220(40+64+116),1,1_10/90009M,1_10/90009M_MZ TC Ti C/19x220(40+64+116)
1,PR/1047/0034-A,,0,,,BAST.Fe L1200 10POS.INT.EN 2CARES (C360094A) PELADO,1,1_PR/1047/0034-A,1_PR/1047/0034-A_BAST.Fe L1200 10POS.INT.EN 2CARES (C360094A) PELADO
1,PR/1047/0035-A,,0,,,BAST.Fe L1520 32POS.INT.EN 2 CARES (C34365A) PELADO,1,1_PR/1047/0035-A,1_PR/1047/0035-A_BAST.Fe L1520 32POS.INT.EN 2 CARES (C34365A) PELADO
1,PR/1047/0036-A,,0,,,TRAV.L1000 64GANCHOS D4-INTCL (T00794) PELADO,1,1_PR/1047/0036-A,1_PR/1047/0036-A_TRAV.L1000 64GANCHOS D4-INTCL (T00794) PELADO
1,PR/1047/0036,,0,,,TRAV.L1000 64GANCHOS D4-INTCL (T00794),1,1_PR/1047/0036,1_PR/1047/0036_TRAV.L1000 64GANCHOS D4-INTCL (T00794)
1,PR/1047/0037-A,,0,,,TRAV.L1000 15GANCHOS D4-INTCL.(T00130) PELADO,1,1_PR/1047/0037-A,1_PR/1047/0037-A_TRAV.L1000 15GANCHOS D4-INTCL.(T00130) PELADO
1,PR/1047/0037,,0,,,TRAV.L1000 15GANCHOS D4-INTCL.(T00130),1,1_PR/1047/0037,1_PR/1047/0037_TRAV.L1000 15GANCHOS D4-INTCL.(T00130)
1,02/10769,,0,,,CESTA Ti D60x520 2SOPORTES L675 A540,1,1_02/10769,1_02/10769_CESTA Ti D60x520 2SOPORTES L675 A540
1,12/CH01012030,,0,,,"CARTUCHO BOBINADO PP 20"" 30MICRAS",1,1_12/CH01012030,"1_12/CH01012030_CARTUCHO BOBINADO PP 20"" 30MICRAS"
1,PR/EMME/0003-B,,0,,,BAST.Ti 950x400 4BAJx11PZ+4BAJx10PZ-INTCL,1,1_PR/EMME/0003-B,1_PR/EMME/0003-B_BAST.Ti 950x400 4BAJx11PZ+4BAJx10PZ-INTCL
1,PR/EMME/0005,,0,,,BAST.Ti 950x400 5BAJx11PZ+4BAJx10PZ-INTCL,1,1_PR/EMME/0005,1_PR/EMME/0005_BAST.Ti 950x400 5BAJx11PZ+4BAJx10PZ-INTCL
1,PR/EMME/0006,,0,,,BAST.Ti 950x400 5BAJx14PZ+5BAJx13PZ-INTCL,1,1_PR/EMME/0006,1_PR/EMME/0006_BAST.Ti 950x400 5BAJx14PZ+5BAJx13PZ-INTCL
1,PR/EMME/0007,,0,,,BAST.Ti 950x400 5BAJx15PZ+5BAJx14PZ-INTCL,1,1_PR/EMME/0007,1_PR/EMME/0007_BAST.Ti 950x400 5BAJx15PZ+5BAJx14PZ-INTCL
1,02/10771M,,0,,,"CORT/LASER Ti 112x112x1,5 T54,8 2T9",1,1_02/10771M,"1_02/10771M_CORT/LASER Ti 112x112x1,5 T54,8 2T9"
1,02/10771,,0,,,"BASE Ti 112x112x1,5 T54,8 2T9",1,1_02/10771,"1_02/10771_BASE Ti 112x112x1,5 T54,8 2T9"
1,PR/1489/0016,,0,,,SOPORTE INOX316 110x40 APRIETE M12+PALANCA,1,1_PR/1489/0016,1_PR/1489/0016_SOPORTE INOX316 110x40 APRIETE M12+PALANCA
1,PR/EMME/0008,,0,,,"PINZA Ti VP-1x8,5 43x15/27x43 (24 CABOLATA)",1,1_PR/EMME/0008,"1_PR/EMME/0008_PINZA Ti VP-1x8,5 43x15/27x43 (24 CABOLATA)"
1,PR/EMME/0009,,0,,,"PINZA Ti VP-1x10,5 53x15/28x53 (28 CABOLATA)",1,1_PR/EMME/0009,"1_PR/EMME/0009_PINZA Ti VP-1x10,5 53x15/28x53 (28 CABOLATA)"
1,PR/EMME/0010,,0,,,PINZA Ti VP-1x9 60x23/47x60 (10 PRENSADA),1,1_PR/EMME/0010,1_PR/EMME/0010_PINZA Ti VP-1x9 60x23/47x60 (10 PRENSADA)
1,PR/EMME/0011,,0,,,PINZA Ti VP-1x10 60x22/47x60 (12 PRENSADA),1,1_PR/EMME/0011,1_PR/EMME/0011_PINZA Ti VP-1x10 60x22/47x60 (12 PRENSADA)
1,02/10773,,0,,,"ENLACE CONEXION Ti D25,4 L1500 M-H 3/4""",1,1_02/10773,"1_02/10773_ENLACE CONEXION Ti D25,4 L1500 M-H 3/4"""
1,02/09341M,,0,,,"MZ RACOR Ti D40x60 R1""Gx20 -H- TUBO 25,4",1,1_02/09341M,"1_02/09341M_MZ RACOR Ti D40x60 R1""Gx20 -H- TUBO 25,4"
1,02/10773M,,0,,,"MZ RACOR Ti D40x50 R3/4""Gx20 -H- TUBO 25,4",1,1_02/10773M,"1_02/10773M_MZ RACOR Ti D40x50 R3/4""Gx20 -H- TUBO 25,4"
1,PR/EMME/0004-A,,0,,,PINZA Ti VP-1x10 50x12/38x50,1,1_PR/EMME/0004-A,1_PR/EMME/0004-A_PINZA Ti VP-1x10 50x12/38x50
1,PR/1272/0015,,0,,,CESTA Ti 10x5 125x500x13 TC55+GANCHO,1,1_PR/1272/0015,1_PR/1272/0015_CESTA Ti 10x5 125x500x13 TC55+GANCHO
1,PR/0820/0027,,0,,,"SERP.Ti D25,4 1620x3000 P8 3/4""G",1,1_PR/0820/0027,"1_PR/0820/0027_SERP.Ti D25,4 1620x3000 P8 3/4""G"
1,PR/1725/0009,,0,,,"CESTA Ti+PLAST. 1,5 10x280x90 TC60 15T1,5",1,1_PR/1725/0009,"1_PR/1725/0009_CESTA Ti+PLAST. 1,5 10x280x90 TC60 15T1,5"
1,02/10772,,0,,,"SERP.Ti D25,4 1620x3000 P8 3/4""G",1,1_02/10772,"1_02/10772_SERP.Ti D25,4 1620x3000 P8 3/4""G"
1,PR/0085/0010,,0,,,ANGULO A 140º Fe 80x15+Cu 60x5 L65,1,1_PR/0085/0010,1_PR/0085/0010_ANGULO A 140º Fe 80x15+Cu 60x5 L65
1,02/08204,,0,,,CESTA Ti -P-TOLVA-10x5 900x200x50 TC150,1,1_02/08204,1_02/08204_CESTA Ti -P-TOLVA-10x5 900x200x50 TC150
1,02/09966,,0,,,CESTA Ti-P-TOLVA-10x5 1050x200x50/100 TC145,1,1_02/09966,1_02/09966_CESTA Ti-P-TOLVA-10x5 1050x200x50/100 TC145
1,02/10090,,0,,,CESTA Ti-O-TOLVA 10x5 D60/95x1250+2TC220,1,1_02/10090,1_02/10090_CESTA Ti-O-TOLVA 10x5 D60/95x1250+2TC220
1,PR/0617/0266,,0,,,BAST-XXX-Ti. L1335 1BEx5POSx2 -PEÇA 211119-,1,1_PR/0617/0266,1_PR/0617/0266_BAST-XXX-Ti. L1335 1BEx5POSx2 -PEÇA 211119-
1,PR/0617/0267,,0,,,BAST-XXX-Ti. L1335 1BEx4POSx2 -PEÇA 211122-,1,1_PR/0617/0267,1_PR/0617/0267_BAST-XXX-Ti. L1335 1BEx4POSx2 -PEÇA 211122-
1,02/10775,,0,,,BAST.Ti 950x400 4BAJx11PZ+4BAJx10PZ PRENSADA 7/8,1,1_02/10775,1_02/10775_BAST.Ti 950x400 4BAJx11PZ+4BAJx10PZ PRENSADA 7/8
1,01/10279M,,0,,,MZ ROSCA M5x15 A CBZA TORNILLO M-12,1,1_01/10279M,1_01/10279M_MZ ROSCA M5x15 A CBZA TORNILLO M-12
1,02/10083BR,,0,,,"GANCHO Ti+PLAST 10x5 L360 1CONT.M-6x6,3 REP",1,1_02/10083BR,"1_02/10083BR_GANCHO Ti+PLAST 10x5 L360 1CONT.M-6x6,3 REP"
1,02/1077401,,0,,,PINZA Ti Vp-1x8 50x19/37x50 PRENSADA 5/6,1,1_02/1077401,1_02/1077401_PINZA Ti Vp-1x8 50x19/37x50 PRENSADA 5/6
1,PR/1439/0019-A,,0,,,TRAV.30x20 L1930 71GANCHOS D5-INTCL CASQUILLOS D20x13,1,1_PR/1439/0019-A,1_PR/1439/0019-A_TRAV.30x20 L1930 71GANCHOS D5-INTCL CASQUILLOS D20x13
1,02/1077701,,0,,,PINZA Ti Vp-1x8 45x13/19x45 CABOLARA 22,1,1_02/1077701,1_02/1077701_PINZA Ti Vp-1x8 45x13/19x45 CABOLARA 22
1,02/10777,,0,,,BAST.Ti 950x400 5BAJx14PZ+5BAJx13PZ CABOLARA 22,1,1_02/10777,1_02/10777_BAST.Ti 950x400 5BAJx14PZ+5BAJx13PZ CABOLARA 22
1,02/10776,,0,,,BAST.Ti 950x400 5BAJx15PZ+5BAJx14PZ CABOLARA 18/20,1,1_02/10776,1_02/10776_BAST.Ti 950x400 5BAJx15PZ+5BAJx14PZ CABOLARA 18/20
1,01/10279,,0,,,SOPORTE INOX316 110x40 APRIETE M12+PALANCA,1,1_01/10279,1_01/10279_SOPORTE INOX316 110x40 APRIETE M12+PALANCA
1,PR/0677/0036,,0,,,BAST.Ti.L1135 2POSx1PEÇA,1,1_PR/0677/0036,1_PR/0677/0036_BAST.Ti.L1135 2POSx1PEÇA
1,PR/0617/0268,,0,,,BAST-XXX Ti-D? 1100x325 10BESx25POSx2 -J.JUAN 445T37NT0-,1,1_PR/0617/0268,1_PR/0617/0268_BAST-XXX Ti-D? 1100x325 10BESx25POSx2 -J.JUAN 445T37NT0-
1,01/1028001,,0,,,"BAST.INOX304 1,5x3,8 L197 3PISx2GAN CL",1,1_01/1028001,"1_01/1028001_BAST.INOX304 1,5x3,8 L197 3PISx2GAN CL"
1,02/10778,,0,,,"CESTA Ti+PLAST. 1,5 10x280x90 TC60 15T1,5",1,1_02/10778,"1_02/10778_CESTA Ti+PLAST. 1,5 10x280x90 TC60 15T1,5"
1,02/10778M,,0,,,"CORT/DOBLAR CESTA Ti-1,5 70x280x90",1,1_02/10778M,"1_02/10778M_CORT/DOBLAR CESTA Ti-1,5 70x280x90"
1,PR/1723/0033,,0,,,GPA023306 FLEJE CONECTOR MINI,1,1_PR/1723/0033,1_PR/1723/0033_GPA023306 FLEJE CONECTOR MINI
1,02/07870A,,0,,,"BAST.Ti-1,5 T-542 C/9,5x1360 25PISOSx4PZS",1,1_02/07870A,"1_02/07870A_BAST.Ti-1,5 T-542 C/9,5x1360 25PISOSx4PZS"
1,PR/0837/0017,,0,,,"BAST.Ti-2 T-542 C/9,5x1360 25PISOSx4PZS",1,1_PR/0837/0017,"1_PR/0837/0017_BAST.Ti-2 T-542 C/9,5x1360 25PISOSx4PZS"
1,02/10780,,0,,,"BAST.Ti-2 T-542 C/9,5x1360 25PISOSx4PZS",1,1_02/10780,"1_02/10780_BAST.Ti-2 T-542 C/9,5x1360 25PISOSx4PZS"
1,02/07870AR,,0,,,"BAST.Ti-1,5 T-542 C/9,5x1360 25PISOSx4PZS REP",1,1_02/07870AR,"1_02/07870AR_BAST.Ti-1,5 T-542 C/9,5x1360 25PISOSx4PZS REP"
1,01/10125A,,0,,,TRAV.30x20 L1930 71GANCHOS D5-INTCL CASQUILLOS D20x13,1,1_01/10125A,1_01/10125A_TRAV.30x20 L1930 71GANCHOS D5-INTCL CASQUILLOS D20x13
1,03/1431060R,,0,,,CALENTADOR INOX 2000W 400V E-600 REP,1,1_03/1431060R,1_03/1431060R_CALENTADOR INOX 2000W 400V E-600 REP
1,02/1069201,,0,,,"TIRA-V Ti-1,2 V62/70 L734 20PZS TJD22/23",1,1_02/1069201,"1_02/1069201_TIRA-V Ti-1,2 V62/70 L734 20PZS TJD22/23"
