empresa,ejercicio,tipo_movimiento,albaran,linea_albaran,linea_pedido,articulo,acumula,cantidad,bultos,precio,precio_iva,tipo_precio,descuento_1,descuento_2,descuento_3,comision_1,comision_2,comision_3,tipo_iva,variante,iva,recargo_e,precio_coste,pts_kl,aplic_pt_kl,total_linea,total_linea_base,total_linea_euro,moneda,cambio,cambio_euro,almacen,pedido,subcta,linea_producto,clv_sub,fecha_documento,factura,linea_factura,fecha_factura,centro_coste,gastos_exped,facturado,presupuesto,linea_presupuesto,triangulado,lote_interno,od_linea,codexpe,campo1,campo2,porcentaje,eur_kg,empresa_id,moneda_id,almacen_id,albaran_id,factura_id,name
1,2023,EC,23000232,7,7,12/CH03011010,1,50.000,0.000,2.00000,2.00000,1,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,2.00000,0.00000,0,100.00000,100.00000,,9,1.000000,,1,23000158,4000651,1,,2023-05-02,23000301,7,2023-04-28,000,,1,,,,,7,,,,,0.00000,1,9,1_1,1_1_EC_23000232,1_1_FC_23000301,1_1_EC_23000232_7
1,2023,SV,23000569,1,1,04/1609050050,1,416.000,0.000,0.67900,0.67900,0,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,0.20867,,0,282.46000,282.46000,,9,1.000000,,1,23000498,4301609,1,,2023-09-28,23000393,1,2023-09-28,,,1,,1,,,1,,,,,,1,9,1_1,1_1_SV_23000569,1_1_FV_23000393,1_1_SV_23000569_1
1,2023,SV,23000534,1,1,02/07893,1,10.000,0.000,35.70000,35.70000,1,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,15.48622,0.00000,0,357.00000,357.00000,,9,1.000000,,1,23000470,4301030,1,,2023-09-08,23000378,1,2023-09-15,,,1,,1,,,1,,,,,,1,9,1_1,1_1_SV_23000534,1_1_FV_23000378,1_1_SV_23000534_1
1,2023,SV,23000415,1,1,12/CH02023908,1,3.000,0.000,186.00000,186.00000,0,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,128.10000,,0,558.00000,558.00000,,9,1.000000,,1,23000310,4301804,1,,2023-06-19,23000279,1,2023-06-19,,,1,,1,,,1,,,,,,1,9,1_1,1_1_SV_23000415,1_1_FV_23000279,1_1_SV_23000415_1
1,2023,SV,23000308,1,1,12/CH03011010,1,50.000,0.000,3.50000,3.50000,0,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,2.00000,,0,175.00000,175.00000,,9,1.000000,,1,23000256,4301489,1,,2023-05-02,23000241,1,2023-05-25,,,1,,1,,,1,,,,,,1,9,1_1,1_1_SV_23000308,1_1_FV_23000241,1_1_SV_23000308_1
1,2023,EC,23000414,8,,92/00001,1,1.000,0.000,29.59000,29.59000,3,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,38.62400,0.00000,0,29.59000,29.59000,,9,1.000000,,1,0,4000072,1,,2023-09-14,23000606,8,2023-09-15,000,,1,,,,,,,,,,0.00000,1,9,1_1,1_1_EC_23000414,1_1_FC_23000606,1_1_EC_23000414_8
1,2023,EC,23000407,6,6,AV021,1,1.000,0.000,22.00000,22.00000,1,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,62.45072,0.00000,0,22.00000,22.00000,,9,1.000000,,1,23000281,4000163,1,,2023-09-12,23000604,6,2023-09-15,000,,1,,,,,6,,,,,0.00000,1,9,1_1,1_1_EC_23000407,1_1_FC_23000604,1_1_EC_23000407_6
1,2023,EC,23000426,1,1,12/063200003,1,2.000,0.000,27.60000,27.60000,1,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,27.60000,0.00000,0,55.20000,55.20000,,9,1.000000,,1,23000292,4000314,1,,2023-09-26,23000618,1,2023-09-26,000,,1,,,,,1,,,,,0.00000,1,9,1_1,1_1_EC_23000426,1_1_FC_23000618,1_1_EC_23000426_1
1,2023,EC,23000123,1,1,12/251707,1,10.000,0.000,103.41000,103.41000,1,5.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,98.24000,0.00000,0,982.40000,982.40000,,9,1.000000,,1,23000062,4000664,1,,2023-03-07,23000193,3,2023-03-24,000,,1,,,,,1,,,,,0.00000,1,9,1_1,1_1_EC_23000123,1_1_FC_23000193,1_1_EC_23000123_1
1,2023,EC,23000407,7,7,AVC10,1,1.000,0.000,19.86000,19.86000,1,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,15.30846,0.00000,0,19.86000,19.86000,,9,1.000000,,1,23000281,4000163,1,,2023-09-12,23000604,7,2023-09-15,000,,1,,,,,7,,,,,0.00000,1,9,1_1,1_1_EC_23000407,1_1_FC_23000604,1_1_EC_23000407_7
1,2023,SV,23000078,1,1,01/09249A,1,30.000,0.000,38.05000,38.05000,0,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,19.36409,,0,1141.50000,1141.50000,,9,1.000000,,1,23000057,4300711,1,,2023-02-01,23000054,1,2023-02-03,,,1,,1,,,1,,,,,,1,9,1_1,1_1_SV_23000078,1_1_FV_23000054,1_1_SV_23000078_1
1,2023,SV,23000536,2,2,..,1,0.000,0.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,23000482,4300758,1,,2023-09-13,23000383,3,2023-09-20,,,1,,2,,,2,,,,,,1,9,1_1,1_1_SV_23000536,1_1_FV_23000383,1_1_SV_23000536_2
1,2023,SV,23000536,3,3,..,1,0.000,0.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,23000482,4300758,1,,2023-09-13,23000383,4,2023-09-20,,,1,,3,,,3,,,,,,1,9,1_1,1_1_SV_23000536,1_1_FV_23000383,1_1_SV_23000536_3
1,2023,SV,23000536,4,4,..,1,0.000,0.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,23000482,4300758,1,,2023-09-13,23000383,5,2023-09-20,,,1,,4,,,4,,,,,,1,9,1_1,1_1_SV_23000536,1_1_FV_23000383,1_1_SV_23000536_4
1,2023,SV,23000536,5,5,..,1,0.000,0.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,23000482,4300758,1,,2023-09-13,23000383,6,2023-09-20,,,1,,5,,,5,,,,,,1,9,1_1,1_1_SV_23000536,1_1_FV_23000383,1_1_SV_23000536_5
1,2023,SV,23000538,2,2,..,1,0.000,0.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,23000488,4301024,1,,2023-09-13,23000384,2,2023-09-20,,,1,,2,,,2,,,,,,1,9,1_1,1_1_SV_23000538,1_1_FV_23000384,1_1_SV_23000538_2
1,2023,SV,23000535,4,2,..,1,0.000,0.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,23000467,4300357,1,,2023-09-12,23000387,4,2023-09-20,,,1,,4,,,2,,,,,,1,9,1_1,1_1_SV_23000535,1_1_FV_23000387,1_1_SV_23000535_4
1,2023,SV,23000535,6,4,..,1,0.000,0.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,23000467,4300357,1,,2023-09-12,23000387,6,2023-09-20,,,1,,6,,,4,,,,,,1,9,1_1,1_1_SV_23000535,1_1_FV_23000387,1_1_SV_23000535_6
1,2023,SV,23000535,8,6,..,1,0.000,0.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,23000467,4300357,1,,2023-09-12,23000387,8,2023-09-20,,,1,,8,,,6,,,,,,1,9,1_1,1_1_SV_23000535,1_1_FV_23000387,1_1_SV_23000535_8
