empresa,codigo,clv_art,codigo_a,tipo,tipo_art,ficha_cerrada,fecha_baja,empresa_id,name
1,02/08623B,,TI02,2,,0,,1,1_02/08623B
1,10/116100,,TI10,2,,0,,1,1_10/116100
1,10/116100M,,TI02,2,,0,,1,1_10/116100M
1,01/09056,,TA01,1,,0,,1,1_01/09056
1,02/08810,,TI02,2,,0,,1,1_02/08810
1,01/08965R,,TA01,1,,0,,1,1_01/08965R
1,01/09058,,TA01,1,,0,,1,1_01/09058
1,02/08812,,TI02,2,,0,,1,1_02/08812
1,01/09059,,TA01,1,,0,,1,1_01/09059
1,01/09057,,TA01,1,,0,,1,1_01/09057
1,01/09060,,TA01,1,,0,,1,1_01/09060
1,56/00050,,TA56,1,,0,,1,1_56/00050
1,02/08748B,,TI02,2,,,,1,1_02/08748B
1,02/08748C,,TI02,2,,,,1,1_02/08748C
1,03/1423048,,CA03,3,,0,,1,1_03/1423048
1,PR/LEHI/0001,,TA01,1,,0,,1,1_PR/LEHI/0001
1,10/10143M,,TI10,2,,0,,1,1_10/10143M
1,01/00375C,,TA01,1,,,,1,1_01/00375C
1,12/PG05201,,CV12,6,,0,,1,1_12/PG05201
1,12/PG05202,,CV12,6,,0,,1,1_12/PG05202
1,12/PG05203,,CV12,6,,0,,1,1_12/PG05203
1,01/00348R,,TA01,1,,0,,1,1_01/00348R
1,01/00318R,,TA01,1,,0,,1,1_01/00318R
1,12/80300R,,CV12,6,,0,,1,1_12/80300R
1,12/PG00118,,CV12,6,,0,,1,1_12/PG00118
1,12/007100001,,CV12,6,,0,,1,1_12/007100001
1,02/08813,,TI02,2,,0,,1,1_02/08813
1,PR/1856/0001,,TA01,1,,0,,1,1_PR/1856/0001
1,01/10306,,TA01,1,,0,,1,1_01/10306
1,10/00276,,TI10,2,,0,,1,1_10/00276
1,11/40071,,TA11,1,,0,,1,1_11/40071
1,02/08811,,TI02,2,,0,,1,1_02/08811
1,01/00354AR,,TA01,1,,,,1,1_01/00354AR
1,04/00719,,PL04,4,,0,,1,1_04/00719
1,02/08815,,TI02,2,,0,,1,1_02/08815
1,02/08815M,,TI02,2,,0,,1,1_02/08815M
1,02/08818,,TI02,2,,0,,1,1_02/08818
1,02/08817,,TI02,2,,0,,1,1_02/08817
1,02/08814,,TI02,2,,0,,1,1_02/08814
1,02/08816,,TI02,2,,0,,1,1_02/08816
1,02/08819,,TI02,2,,0,,1,1_02/08819
1,02/08701A,,TI02,2,,0,,1,1_02/08701A
1,02/08701AM,,TI02,2,,0,,1,1_02/08701AM
1,02/08821,,TI02,2,,0,,1,1_02/08821
1,12/PP00026,,CV12,6,,0,,1,1_12/PP00026
1,12/PP00027,,CV12,6,,0,,1,1_12/PP00027
1,01/00375D,,TA01,1,,0,,1,1_01/00375D
1,26/60850,,TA26,1,,0,,1,1_26/60850
1,26/6108120,,TA26,1,,0,,1,1_26/6108120
1,01/09063,,TA01,1,,0,,1,1_01/09063
1,01/09064,,TA01,1,,0,,1,1_01/09064
1,02/07891,,TI02,2,,,,1,1_02/07891
1,12/PP00028,,CV12,6,,0,,1,1_12/PP00028
1,01/09065,,TA01,1,,0,,1,1_01/09065
1,04/33701,,PL04,4,,0,,1,1_04/33701
1,02/08823,,TI02,2,,0,,1,1_02/08823
1,02/08824,,TI02,2,,0,,1,1_02/08824
1,10/10180,,TI10,2,,0,,1,1_10/10180
1,01/08282,,TA01,1,,0,,1,1_01/08282
1,.YES,,Y,7,,,,1,1_.YES
1,PL04/99999,,104,4,,,,1,1_PL04/99999
1,02/08566R,,TI02,2,,0,,1,1_02/08566R
1,AVCA,,,3,,,,1,1_AVCA
1,AVTI,,,2,,,,1,1_AVTI
1,04/00384,,PL04,4,,,,1,1_04/00384
1,AV023,,AVTI,2,,,,1,1_AV023
1,51/40010,,TA51,1,,,,1,1_51/40010
1,AV022,,AVTI,2,,,,1,1_AV022
1,02/08826,,TI02,2,,0,,1,1_02/08826
1,.13,,503,3,,,,1,1_.13
1,AVTA,,,1,,,,1,1_AVTA
1,03/00113,,CA03,3,,0,,1,1_03/00113
1,12/7000,,CV12,6,,,,1,1_12/7000
1,12/51830,,CV12,6,,,,1,1_12/51830
1,12/10000,,CV12,6,,,,1,1_12/10000
1,28/00962,,TA28,1,,,,1,1_28/00962
1,02/07886,,TI02,2,,,,1,1_02/07886
1,TA90/99999,,XTA91,8,,,,1,1_TA90/99999
1,01/08008,,TA01,1,,,,1,1_01/08008
1,51/00140,,TA51,1,,,,1,1_51/00140
1,51/00160,,TA51,1,,,,1,1_51/00160
1,51/00180,,TA51,1,,,,1,1_51/00180
1,51/00200,,TA51,1,,,,1,1_51/00200
1,52/00030,,TA52,1,,,,1,1_52/00030
1,52/00050,,TA52,1,,,,1,1_52/00050
1,52/00070,,TA52,1,,,,1,1_52/00070
1,52/00160,,TA52,1,,,,1,1_52/00160
1,53/00040,,TA53,1,,,,1,1_53/00040
1,53/00050,,TA53,1,,,,1,1_53/00050
1,53/00060,,TA53,1,,,,1,1_53/00060
1,53/00070,,TA53,1,,,,1,1_53/00070
1,53/00080,,TA53,1,,,,1,1_53/00080
1,54/00050,,TA54,1,,,,1,1_54/00050
1,54/00060,,TA54,1,,,,1,1_54/00060
1,54/00070,,TA54,1,,,,1,1_54/00070
1,54/00080,,TA54,1,,,,1,1_54/00080
1,54/00100,,TA54,1,,,,1,1_54/00100
1,55/00153,,TI55,2,,,,1,1_55/00153
1,55/00262,,TI55,2,,0,,1,1_55/00262
1,02/08827,,TI02,2,,0,,1,1_02/08827
1,55/00304,,TI55,2,,0,,1,1_55/00304
1,55/00503,,TI55,2,,0,,1,1_55/00503
1,56/00040,,TA56,1,,,,1,1_56/00040
1,56/00060,,TA56,1,,,,1,1_56/00060
1,56/00070,,TA56,1,,,,1,1_56/00070
1,56/00080,,TA56,1,,0,,1,1_56/00080
1,56/00090,,TA56,1,,,,1,1_56/00090
1,57/00006,,TA57,1,,,,1,1_57/00006
1,PR/0634/0005,,TI02,2,,0,,1,1_PR/0634/0005
1,57/00010,,TA57,1,,,,1,1_57/00010
1,57/00013,,TA57,1,,,,1,1_57/00013
1,57/00021,,TA57,1,,,,1,1_57/00021
1,55/00253,,TI55,2,,,,1,1_55/00253
1,58/00240,,TA58,1,,,,1,1_58/00240
1,58/00300,,TA58,1,,,,1,1_58/00300
1,58/10030,,TA58,1,,,,1,1_58/10030
1,58/33005,,TA58,1,,,,1,1_58/33005
1,70/01002,,TA70,1,,,,1,1_70/01002
1,70/01003,,TA70,1,,,,1,1_70/01003
1,70/01004,,TA70,1,,,,1,1_70/01004
1,70/10060,,TA70,1,,,,1,1_70/10060
1,80/00000,,PL80,4,,,,1,1_80/00000
1,80/00002,,PL80,4,,,,1,1_80/00002
1,80/00100,,PL80,4,,,,1,1_80/00100
1,80/00101,,PL80,4,,,,1,1_80/00101
1,80/00102,,PL80,4,,0,,1,1_80/00102
1,58/00160,,TA58,1,,,,1,1_58/00160
1,02/08825,,TI02,2,,0,,1,1_02/08825
1,02/08828,,TI02,2,,0,,1,1_02/08828
1,02/08825M1,,TI02,2,,,,1,1_02/08825M1
1,02/09396R,,TI02,2,,0,,1,1_02/09396R
1,13/10700,,CA13,3,,,,1,1_13/10700
1,51/00300,,TA51,1,,,,1,1_51/00300
1,51/10010,,TA51,1,,,,1,1_51/10010
1,51/10012,,TA51,1,,,,1,1_51/10012
1,51/10014,,TA51,1,,,,1,1_51/10014
1,51/10016,,TA51,1,,,,1,1_51/10016
1,51/10018,,TA51,1,,,,1,1_51/10018
1,51/10020,,TA51,1,,,,1,1_51/10020
1,51/10025,,TA51,1,,,,1,1_51/10025
1,51/32004,,TA51,1,,,,1,1_51/32004
1,51/32005,,TA51,1,,,,1,1_51/32005
1,51/32010,,TA51,1,,,,1,1_51/32010
1,51/33005,,TA51,1,,,,1,1_51/33005
1,51/33010,,TA51,1,,,,1,1_51/33010
1,51/34005,,TA51,1,,,,1,1_51/34005
1,51/34010,,TA51,1,,,,1,1_51/34010
1,51/35005,,TA51,1,,,,1,1_51/35005
1,51/35010,,TA51,1,,,,1,1_51/35010
1,51/37006,,TA51,1,,,,1,1_51/37006
1,51/40015,,TA51,1,,,,1,1_51/40015
1,51/40020,,TA51,1,,,,1,1_51/40020
1,51/40025,,TA51,1,,,,1,1_51/40025
1,51/40030,,TA51,1,,0,,1,1_51/40030
1,51/40060,,TA51,1,,,,1,1_51/40060
1,51/62626,,TA51,1,,,,1,1_51/62626
1,51/63030,,TA51,1,,,,1,1_51/63030
1,51/64040,,TA51,1,,,,1,1_51/64040
1,51/90023,,TA51,1,,,,1,1_51/90023
1,51/90025,,TA51,1,,,,1,1_51/90025
1,03/00145M,,CA03,3,,0,,1,1_03/00145M
1,51/90050,,TA51,1,,,,1,1_51/90050
1,52/00250,,TA52,1,,,,1,1_52/00250
1,52/00600,,TA52,1,,,,1,1_52/00600
1,52/10006,,TA52,1,,,,1,1_52/10006
1,52/10016,,TA52,1,,,,1,1_52/10016
1,52/20012,,TA52,1,,,,1,1_52/20012
1,52/20015,,TA52,1,,,,1,1_52/20015
1,52/20016,,TA52,1,,,,1,1_52/20016
1,52/31003,,TA52,1,,,,1,1_52/31003
1,52/31004,,TA52,1,,,,1,1_52/31004
1,52/31006,,TA52,1,,,,1,1_52/31006
1,52/31203,,TA52,1,,,,1,1_52/31203
1,52/31204,,TA52,1,,,,1,1_52/31204
1,52/31205,,TA52,1,,,,1,1_52/31205
1,52/31206,,TA52,1,,,,1,1_52/31206
