emp,eje,alm,doc,observacion,faviso,empresa_id,ejercicio_id,almacen_id,name
1,2006,1,10781,,,1,1_2006,1_1,1_2006_10781
1,2006,1,10795,,,1,1_2006,1_1,1_2006_10795
1,2006,1,10804,,,1,1_2006,1_1,1_2006_10804
1,2006,1,10831,,,1,1_2006,1_1,1_2006_10831
1,2006,1,10834,,,1,1_2006,1_1,1_2006_10834
1,2006,1,10838,,,1,1_2006,1_1,1_2006_10838
1,2006,1,10843,,,1,1_2006,1_1,1_2006_10843
1,2006,1,10850,,,1,1_2006,1_1,1_2006_10850
1,2006,1,10852,,,1,1_2006,1_1,1_2006_10852
1,2006,1,10853,,,1,1_2006,1_1,1_2006_10853
1,2006,1,10854,,,1,1_2006,1_1,1_2006_10854
1,2006,1,10856,,,1,1_2006,1_1,1_2006_10856
1,2006,1,10859,,,1,1_2006,1_1,1_2006_10859
1,2006,1,10862,,,1,1_2006,1_1,1_2006_10862
1,2006,1,10863,,,1,1_2006,1_1,1_2006_10863
1,2006,1,10865,,,1,1_2006,1_1,1_2006_10865
1,2006,1,10911,,,1,1_2006,1_1,1_2006_10911
1,2006,1,10955,,,1,1_2006,1_1,1_2006_10955
1,2006,1,10872,,,1,1_2006,1_1,1_2006_10872
1,2006,1,10874,,,1,1_2006,1_1,1_2006_10874
1,2006,1,10875,,,1,1_2006,1_1,1_2006_10875
1,2006,1,10884,,,1,1_2006,1_1,1_2006_10884
1,2006,1,10887,,,1,1_2006,1_1,1_2006_10887
1,2006,1,10889,,,1,1_2006,1_1,1_2006_10889
1,2006,1,10891,,,1,1_2006,1_1,1_2006_10891
1,2006,1,10892,,,1,1_2006,1_1,1_2006_10892
1,2006,1,10893,,,1,1_2006,1_1,1_2006_10893
1,2006,1,10894,,,1,1_2006,1_1,1_2006_10894
1,2006,1,10972,,,1,1_2006,1_1,1_2006_10972
1,2006,1,10897,,,1,1_2006,1_1,1_2006_10897
1,2006,1,11034,,,1,1_2006,1_1,1_2006_11034
1,2006,1,10899,,,1,1_2006,1_1,1_2006_10899
1,2006,1,11067,,,1,1_2006,1_1,1_2006_11067
1,2007,1,11584,,,1,1_2007,1_1,1_2007_11584
1,2006,1,10868,,,1,1_2006,1_1,1_2006_10868
